title,price,link
"iPhone 13, 128 ГБ в Егорьевске",20 000 ₽,https://www.avito.ru/egorevsk/telefony/iphone_13_128_gb_7621733431?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone 7, 32 ГБ в Чапаевске",3 000 ₽,https://www.avito.ru/chapaevsk/telefony/iphone_7_32_gb_7527248593?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone 12, 128 ГБ",19 500 ₽,https://www.avito.ru/stavropol/telefony/iphone_12_128_gb_7578875318?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Плата видеозахвата avmatrix VC41 4CH 3G-SDI pcie в Калининграде,30 000 ₽,https://www.avito.ru/kaliningrad/tovary_dlya_kompyutera/plata_videozahvata_avmatrix_vc41_4ch_3g-sdi_pcie_7612939038?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Петы из адопт ми в Нижнекамске,Цена не указана,https://www.avito.ru/nizhnekamsk/igry_pristavki_i_programmy/pety_iz_adopt_mi_7570297366?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"Huawei Nova 5T, 6/128 ГБ",2 700 ₽,https://www.avito.ru/sankt-peterburg/telefony/huawei_nova_5t_6128_gb_7588574812?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Фотоаппарат canon eos 250d в Павловском Посаде,17 000 ₽,https://www.avito.ru/pavlovskiy_posad/fototehnika/fotoapparat_canon_eos_250d_7527656832?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Акустическая система 5.1 bbk в Копейске,3 000 ₽,https://www.avito.ru/kopeysk/audio_i_video/akusticheskaya_sistema_5.1_bbk_7549693370?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Принтер струйный,2 000 ₽,https://www.avito.ru/nizhniy_tagil/orgtehnika_i_rashodniki/printer_struynyy_7612380410?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
iPhone 16 Pro Max 256gb 100акб Идеальный sim+esim,86 990 ₽,https://www.avito.ru/ivanovo/telefony/iphone_16_pro_max_256gb_100akb_idealnyy_simesim_7560827642?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Premium Airpods pro 2,1 400 ₽,https://www.avito.ru/novokuznetsk/audio_i_video/premium_airpods_pro_2_7612345064?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Animal Crossing New Horizons Ninendo Switch,2 900 ₽,https://www.avito.ru/moskva/igry_pristavki_i_programmy/animal_crossing_new_horizons_ninendo_switch_7612050827?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone 15 Pro Max, 256 ГБ в Москве",100 000 ₽,https://www.avito.ru/moskva/telefony/iphone_15_pro_max_256_gb_7638370400?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Телевизор 32 дюйма сбер в Мытищах,7 500 ₽,https://www.avito.ru/mytischi/audio_i_video/televizor_32_dyuyma_sber_7593371397?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"Samsung Galaxy A56, 8/256 ГБ",27 999 ₽,https://www.avito.ru/moskva/telefony/samsung_galaxy_a56_8256_gb_7566275330?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone 11 Pro, 64 ГБ",17 000 ₽,https://www.avito.ru/verhnyaya_maksakovka/telefony/iphone_11_pro_64_gb_7594163613?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone Xr, 64 ГБ в Валуйках",4 999 ₽,https://www.avito.ru/valuyki/telefony/iphone_xr_64_gb_7611095513?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Sony Playstation 4 Slim 1TB в Казани,32 000 ₽,https://www.avito.ru/kazan/igry_pristavki_i_programmy/sony_playstation_4_slim_1tb_7570241952?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Nintendo switch lite прошитая 128гб в Санкт-Петербурге,13 500 ₽,https://www.avito.ru/sankt-peterburg/igry_pristavki_i_programmy/nintendo_switch_lite_proshitaya_128gb_7611493107?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Sony playstation 5 slim digital edition в Архангельске,40 000 ₽,https://www.avito.ru/arhangelsk/igry_pristavki_i_programmy/sony_playstation_5_slim_digital_edition_7549047632?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"LG Magna H502, 8 ГБ",1 000 ₽,https://www.avito.ru/izhevsk/telefony/lg_magna_h502_8_gb_7573562081?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone 13 Pro, 128 ГБ в Махачкале",38 500 ₽,https://www.avito.ru/mahachkala/telefony/iphone_13_pro_128_gb_7568463198?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"Samsung Galaxy A32, 4/64 ГБ в Туле",10 000 ₽,https://www.avito.ru/tula/telefony/samsung_galaxy_a32_464_gb_7568059814?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone 14, 128 ГБ в Ростове-на-Дону",31 500 ₽,https://www.avito.ru/rostov-na-donu/telefony/iphone_14_128_gb_7550528383?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Olympus VG-130,3 290 ₽,https://www.avito.ru/rostovskaya_oblast_pokrovskoe/fototehnika/olympus_vg-130_7595068144?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone SE, 32 ГБ в Воронеже",2 500 ₽,https://www.avito.ru/voronezh/telefony/iphone_se_32_gb_7573267936?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Syndicate для PlayStation 3,500 ₽,https://www.avito.ru/ivanovskaya_oblast_shuya/igry_pristavki_i_programmy/syndicate_dlya_playstation_3_7578136327?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone SE, 128 ГБ",10 000 ₽,https://www.avito.ru/kaliningrad/telefony/iphone_se_128_gb_7549257623?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
"iPhone 11, 64 ГБ в Домодедово",12 000 ₽,https://www.avito.ru/domodedovo/telefony/iphone_11_64_gb_7570341561?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
Принтер Epson Stylus Photo P50,12 903 ₽,https://www.avito.ru/moskva/orgtehnika_i_rashodniki/printer_epson_stylus_photo_p50_7566943362?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6InA5SGpKRjR2WlVtVFVIQVAiO30CQ6tzJgAAAA
